message_type	message	enc_class	enc_member	offset	path	target_kind	target_class	target_method	target_param	target_index	target_path
METHOD_NO_INIT	initializer method does not guarantee @NonNull field texture (line 27) is initialized along all control-flow paths (remember to check for exceptions or early returns).	com.badlogic.gdx.graphics.g2d.TextureRegion	TextureRegion()	1316	/private/tmp/projects/libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/TextureRegion.java	null	null	null	null	null	null
METHOD_NO_INIT	initializer method does not guarantee @NonNull field texture (line 27) is initialized along all control-flow paths (remember to check for exceptions or early returns).	com.badlogic.gdx.graphics.g2d.TextureRegion	TextureRegion(com.badlogic.gdx.graphics.g2d.TextureRegion)	2538	/private/tmp/projects/libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/TextureRegion.java	null	null	null	null	null	null
METHOD_NO_INIT	initializer method does not guarantee @NonNull field texture (line 27) is initialized along all control-flow paths (remember to check for exceptions or early returns).	com.badlogic.gdx.graphics.g2d.TextureRegion	TextureRegion(com.badlogic.gdx.graphics.g2d.TextureRegion,int,int,int,int)	2943	/private/tmp/projects/libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/TextureRegion.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression region is @Nullable	com.badlogic.gdx.graphics.g2d.TextureRegion	setRegion(com.badlogic.gdx.graphics.g2d.TextureRegion)	4600	/private/tmp/projects/libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/TextureRegion.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression Gdx.net is @Nullable	com.badlogic.gdx.graphics.Pixmap	downloadFromUrl(java.lang.String,com.badlogic.gdx.graphics.Pixmap.DownloadPixmapResponseListener)	8452	/private/tmp/projects/libgdx/gdx/src/com/badlogic/gdx/graphics/Pixmap.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression info.data is @Nullable	com.badlogic.gdx.assets.loaders.TextureLoader	loadAsync(com.badlogic.gdx.assets.AssetManager,java.lang.String,com.badlogic.gdx.files.FileHandle,com.badlogic.gdx.assets.loaders.TextureLoader.TextureParameter)	2726	/private/tmp/projects/libgdx/gdx/src/com/badlogic/gdx/assets/loaders/TextureLoader.java	null	null	null	null	null	null
METHOD_NO_INIT	initializer method does not guarantee @NonNull field data (line 108) is initialized along all control-flow paths (remember to check for exceptions or early returns).	com.badlogic.gdx.graphics.Texture	Texture(int,int,com.badlogic.gdx.graphics.TextureData)	5258	/private/tmp/projects/libgdx/gdx/src/com/badlogic/gdx/graphics/Texture.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression data is @Nullable	com.badlogic.gdx.graphics.Texture	Texture(int,int,com.badlogic.gdx.graphics.TextureData)	5384	/private/tmp/projects/libgdx/gdx/src/com/badlogic/gdx/graphics/Texture.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression data is @Nullable	com.badlogic.gdx.graphics.Texture	load(com.badlogic.gdx.graphics.TextureData)	5516	/private/tmp/projects/libgdx/gdx/src/com/badlogic/gdx/graphics/Texture.java	null	null	null	null	null	null
ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	com.badlogic.gdx.graphics.Texture	load(com.badlogic.gdx.graphics.TextureData)	5657	/private/tmp/projects/libgdx/gdx/src/com/badlogic/gdx/graphics/Texture.java	FIELD	com.badlogic.gdx.graphics.Texture	null	data	null	/private/tmp/projects/libgdx/gdx/src/com/badlogic/gdx/graphics/Texture.java
