message_type	message	enc_class	enc_member	offset	path	target_kind	target_class	target_method	target_param	target_index	target_path
PASS_NULLABLE	passing @Nullable parameter 'fileName' where @NonNull is required	com.badlogic.gdx.files.FileHandle	FileHandle(java.lang.String)	2759	/home/nima/Desktop/docker/benchmarks/libgdx/gdx/src/com/badlogic/gdx/files/FileHandle.java	PARAMETER	java.io.File	File(java.lang.String)	arg0	0	null
DEREFERENCE_NULLABLE	dereferenced expression file is @Nullable	com.badlogic.gdx.files.FileHandle	path()	3623	/home/nima/Desktop/docker/benchmarks/libgdx/gdx/src/com/badlogic/gdx/files/FileHandle.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression file is @Nullable	com.badlogic.gdx.files.FileHandle	name()	3760	/home/nima/Desktop/docker/benchmarks/libgdx/gdx/src/com/badlogic/gdx/files/FileHandle.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression file is @Nullable	com.badlogic.gdx.files.FileHandle	extension()	3938	/home/nima/Desktop/docker/benchmarks/libgdx/gdx/src/com/badlogic/gdx/files/FileHandle.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression file is @Nullable	com.badlogic.gdx.files.FileHandle	nameWithoutExtension()	4204	/home/nima/Desktop/docker/benchmarks/libgdx/gdx/src/com/badlogic/gdx/files/FileHandle.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression file is @Nullable	com.badlogic.gdx.files.FileHandle	pathWithoutExtension()	4562	/home/nima/Desktop/docker/benchmarks/libgdx/gdx/src/com/badlogic/gdx/files/FileHandle.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression Gdx.files is @Nullable	com.badlogic.gdx.files.FileHandle	file()	5038	/home/nima/Desktop/docker/benchmarks/libgdx/gdx/src/com/badlogic/gdx/files/FileHandle.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression file is @Nullable	com.badlogic.gdx.files.FileHandle	file()	5074	/home/nima/Desktop/docker/benchmarks/libgdx/gdx/src/com/badlogic/gdx/files/FileHandle.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression file() is @Nullable	com.badlogic.gdx.files.FileHandle	read()	5376	/home/nima/Desktop/docker/benchmarks/libgdx/gdx/src/com/badlogic/gdx/files/FileHandle.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression file() is @Nullable	com.badlogic.gdx.files.FileHandle	read()	5427	/home/nima/Desktop/docker/benchmarks/libgdx/gdx/src/com/badlogic/gdx/files/FileHandle.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression file is @Nullable	com.badlogic.gdx.files.FileHandle	read()	5513	/home/nima/Desktop/docker/benchmarks/libgdx/gdx/src/com/badlogic/gdx/files/FileHandle.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression file() is @Nullable	com.badlogic.gdx.files.FileHandle	read()	5751	/home/nima/Desktop/docker/benchmarks/libgdx/gdx/src/com/badlogic/gdx/files/FileHandle.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression f is @Nullable	com.badlogic.gdx.files.FileHandle	map(java.nio.channels.FileChannel.MapMode)	11288	/home/nima/Desktop/docker/benchmarks/libgdx/gdx/src/com/badlogic/gdx/files/FileHandle.java	null	null	null	null	null	null
